H2,mapping
afs,svces
atp,svces
b_t,food
bph,bph
c_b,crops
chm,chm
cmn,svces
cmt,food
cns,cns
coa,coa
ctl,livestock
dwe,svces
edu,svces
eeq,eeq
ele,ele
ely,ely
fmp,fmp
frs,frs
fsh,food
gas,gas
gdt,gdt
gro,crops
hht,svces
i_s,i_s
ins,svces
lea,lea
lum,lum
mil,food
mvh,mvh
nfm,nfm
nmm,nmm
oap,food
obs,svces
ocr,crops
ofd,food
ofi,svces
oil,oil
ome,ome
omf,omf
omt,food
osd,crops
osg,svces
otn,otn
otp,svces
oxt,oxt
p_c,p_c
pcr,food
pdr,crops
pfb,crops
ppp,ppp
rmk,livestock
ros,svces
rpp,rpp
rsa,svces
sgr,food
tex,tex
trd,svces
v_f,crops
vol,food
wap,wap
whs,svces
wht,crops
wol,livestock
wtp,svces
wtr,svces
