H1,mapping
alb,oecd
are,maf
arg,lam
arm,eit
aus,oecd
aut,oecd
aze,eit
bel,oecd
ben,maf
bfa,maf
bgd,asia
bgr,oecd
bhr,maf
blr,eit
bol,lam
bra,lam
brn,asia
bwa,maf
can,oecd
che,oecd
chl,lam
chn,asia
civ,maf
cmr,maf
col,lam
cri,lam
cyp,oecd
cze,oecd
deu,oecd
dnk,oecd
dom,lam
ecu,lam
egy,maf
esp,oecd
est,oecd
eth,maf
fin,oecd
fra,oecd
gbr,oecd
geo,eit
gha,maf
gin,maf
grc,oecd
gtm,lam
hkg,asia
hnd,lam
hrv,oecd
hun,oecd
idn,asia
ind,asia
irl,oecd
irn,maf
isr,maf
ita,oecd
jam,lam
jor,maf
jpn,oecd
kaz,eit
ken,maf
kgz,eit
khm,asia
kor,asia
kwt,maf
lao,asia
lka,asia
ltu,oecd
lux,oecd
lva,oecd
mar,maf
mdg,maf
mex,lam
mlt,oecd
mng,asia
moz,maf
mus,maf
mwi,maf
mys,asia
nam,maf
nga,maf
nic,lam
nld,oecd
nor,oecd
npl,asia
nzl,oecd
omn,maf
pak,asia
pan,lam
per,lam
phl,asia
pol,oecd
pri,lam
prt,oecd
pry,lam
qat,maf
rou,oecd
rus,eit
rwa,maf
sau,maf
sen,maf
sgp,asia
slv,lam
svk,oecd
svn,oecd
swe,oecd
tgo,maf
tha,asia
tjk,eit
tto,lam
tun,maf
tur,oecd
twn,asia
tza,maf
uga,maf
ukr,eit
ury,lam
usa,oecd
ven,lam
vnm,asia
xac,maf
xca,lam
xcb,lam
xcf,maf
xea,asia
xec,maf
xee,eit
xef,oecd
xer,oecd
xna,oecd
xnf,maf
xoc,asia
xsa,asia
xsc,maf
xse,asia
xsm,lam
xsu,eit
xtw,oecd
xwf,maf
xws,maf
zaf,maf
zmb,maf
zwe,maf
