REG,mapping
afg,afg
alb,alb
are,are
arg,arg
arm,arm
aus,aus
aut,aut
aze,aze
bel,bel
ben,ben
bfa,bfa
bgd,bgd
bgr,bgr
bhr,bhr
blr,blr
bol,bol
bra,bra
brn,mys_brn
bwa,bwa
caf,caf
can,can
che,che
chl,chl
chn,chn_hkg_xea
civ,civ
cmr,cmr
cod,cod
cog,cog
col,col
com,com
cri,cri
cyp,cyp
cze,cze
deu,deu
dnk,dnk
dom,dom
dza,dza
ecu,ecu
egy,egy
esp,esp
est,est
eth,eth
fin,fin
fra,fra
gab,gab
gbr,gbr
geo,geo
gha,gha
gin,gin
gnq,gnq
grc,grc
gtm,gtm_blz
hkg,chn_hkg_xea
hnd,hnd
hrv,hrv
hti,hti
hun,hun
idn,idn
ind,ind
irl,irl
irn,irn
irq,irq
isr,isr
ita,ita
jam,jam
jor,jor
jpn,jpn
kaz,kaz
ken,ken
kgz,kgz
khm,khm
kor,kor
kwt,kwt
lao,lao
lbn,lbn
lka,lka
ltu,ltu
lux,lux
lva,lva
mar,mar_xwf
mdg,mdg
mex,mex
mli,mli
mlt,mlt
mng,mng
moz,moz
mus,mus
mwi,mwi
mys,mys_brn
nam,nam
ner,ner
nga,nga
nic,nic
nld,nld
nor,nor
npl,npl
nzl,nzl
omn,omn
pak,pak
pan,pan
per,per
phl,phl
pol,pol
pri,pri
prt,prt
pry,pry
pse,pse
qat,qat
rou,rou
rus,rus
rwa,rwa
sau,sau
sdn,sdn
sen,sen
sgp,sgp
slv,slv
srb,srb
svk,svk
svn,svn
swe,swe
swz,swz
syr,syr
tcd,tcd
tgo,tgo
tha,tha
tjk,tjk
tto,tto
tun,tun
tur,tur
twn,twn
tza,tza
uga,uga
ukr,ukr
ury,ury
usa,usa
uzb,uzb
ven,ven
vnm,vnm
xac,xac
xca,gtm_blz
xcb,xcb
xea,chn_hkg_xea
xec,xec
xee,xee
xef,xef
xer,xer
xna,xna_xtw
xnf,xnf
xoc,xoc
xsa,xsa
xsc,zaf_xsc
xse,xse
xsm,xsm
xsu,xsu
xtw,xna_xtw
xwf,mar_xwf
xws,xws
zaf,zaf_xsc
zmb,zmb
zwe,zwe
