H1,mapping
afg,sas
alb,eca
are,mena
arg,lac
arm,eca
aus,eap
aut,eca
aze,eca
bel,eca
ben,ssa
bfa,ssa
bgd,sas
bgr,eca
bhr,mena
blr,eca
bol,lac
bra,lac
brn,eap
bwa,ssa
caf,ssa
can,nam
che,eca
chl,lac
chn,eap
civ,ssa
cmr,ssa
cod,ssa
cog,ssa
col,lac
com,ssa
cri,lac
cyp,eca
cze,eca
deu,eca
dnk,eca
dom,lac
dza,mena
ecu,lac
egy,mena
esp,eca
est,eca
eth,ssa
fin,eca
fra,eca
gab,ssa
gbr,eca
geo,eca
gha,ssa
gin,ssa
gnq,ssa
grc,eca
gtm,lac
hkg,eap
hnd,lac
hrv,eca
hti,lac
hun,eca
idn,eap
ind,sas
irl,eca
irn,mena
irq,mena
isr,mena
ita,eca
jam,lac
jor,mena
jpn,eap
kaz,eca
ken,ssa
kgz,eca
khm,eap
kor,eap
kwt,mena
lao,eap
lbn,mena
lka,sas
ltu,eca
lux,eca
lva,eca
mar,mena
mdg,ssa
mex,lac
mli,ssa
mlt,mena
mng,eap
moz,ssa
mus,ssa
mwi,ssa
mys,eap
nam,ssa
ner,ssa
nga,ssa
nic,lac
nld,eca
nor,eca
npl,sas
nzl,eap
omn,mena
pak,sas
pan,lac
per,lac
phl,eap
pol,eca
pri,lac
prt,eca
pry,lac
pse,mena
qat,mena
rou,eca
rus,eca
rwa,ssa
sau,mena
sdn,ssa
sen,ssa
sgp,eap
slv,lac
srb,eca
svk,eca
svn,eca
swe,eca
swz,ssa
syr,mena
tcd,ssa
tgo,ssa
tha,eap
tjk,eca
tto,lac
tun,mena
tur,eca
twn,eap
tza,ssa
uga,ssa
ukr,eca
ury,lac
usa,nam
uzb,eca
ven,lac
vnm,eap
xac,ssa
xca,lac
xcb,lac
xea,eap
xec,ssa
xee,eca
xef,eca
xer,eca
xna,nam
xnf,mena
xoc,eap
xsa,sas
xsc,ssa
xse,eap
xsm,lac
xsu,eca
xtw,lac
xwf,ssa
xws,mena
zaf,ssa
zmb,ssa
zwe,ssa
