COMM,mapping
atp,tsp
b_t,b_t
c_b,c_b
cmn,cmn
cmt,cmt
cns,cns
coa,min
crp,crp
ctl,ctl
dwe,svs
ele,eqm
ely,utl
fmp,mmi
frs,frs
fsh,fsh
gas,min
gdt,utl
gro,gro
i_s,mmi
isr,fin
lea,twl
lum,wpp
mil,mil
mvh,mvo
nfm,mmi
nmm,nmm
oap,oap
obs,svs
ocr,ocr
ofd,ofd
ofi,fin
oil,min
ome,eqm
omf,omf
omn,min
omt,omt
osd,osd
osg,osg
otn,mvo
otp,tsp
p_c,p_c
pcr,pcr
pdr,pdr
pfb,pfb
ppp,wpp
rmk,rmk
ros,svs
sgr,sgr
tex,twl
trd,trd
v_f,v_f
vol,vol
wap,twl
wht,wht
wol,wol
wtp,tsp
wtr,utl
