COMM,mapping
atp,atp
b_t,b_t
c_b,c_b
cmn,cmn
cmt,cmt
cns,cns
coa,coa
crp,crp
ctl,ctl
dwe,dwe
ele,ele
ely,ely
fmp,fmp
frs,frs
fsh,fsh
gas,gas
gdt,gdt
gro,gro
i_s,i_s
isr,isr
lea,lea
lum,lum
mil,mil
mvh,mvh
nfm,nfm
nmm,nmm
oap,oap
obs,obs
ocr,ocr
ofd,ofd
ofi,ofi
oil,oil
ome,ome
omf,omf
omn,omn
omt,omt
osd,osd
osg,osg
otn,otn
otp,otp
p_c,p_c
pcr,pcr
pdr,pdr
pfb,pfb
ppp,ppp
rmk,rmk
ros,ros
sgr,sgr
tex,tex
trd,trd
v_f,v_f
vol,vol
wap,wap
wht,wht
wol,wol
wtp,wtp
wtr,wtr
